level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,4,2,4,15,1800,1844,55,29,94.497299,the
4,1,4,2,5,0,124,1889,1734,39,-1.0,
5,1,4,2,5,1,124,1891,183,29,96.030228,references
5,1,4,2,5,2,329,1891,36,28,96.569618,in
5,1,4,2,5,3,391,1891,54,29,96.287308,the
5,1,4,2,5,4,473,1889,203,38,96.218246,Legislative
5,1,4,2,5,5,704,1891,107,29,96.345261,Series
5,1,4,2,5,6,836,1891,50,28,93.68338,for
5,1,4,2,5,7,913,1899,93,28,93.68338,"1935,"
5,1,4,2,5,8,1031,1891,108,29,96.122231,which
5,1,4,2,5,9,1166,1900,78,27,96.568008,may
5,1,4,2,5,10,1269,1891,41,29,96.979851,be
5,1,4,2,5,11,1336,1891,80,29,96.364494,used
5,1,4,2,5,12,1442,1891,33,28,96.199272,in
5,1,4,2,5,13,1499,1891,161,37,96.577095,ordering
5,1,4,2,5,14,1683,1893,115,35,96.565529,copies
5,1,4,2,5,15,1822,1892,36,29,96.913818,of
4,1,4,2,6,0,126,1937,1732,38,-1.0,
5,1,4,2,6,1,126,1937,55,30,96.349892,the
5,1,4,2,6,2,205,1939,200,28,96.081535,documents
5,1,4,2,6,3,427,1937,34,28,96.489082,in
5,1,4,2,6,4,485,1939,158,34,96.199783,question
5,1,4,2,6,5,665,1947,38,20,96.019684,or
5,1,4,2,6,6,725,1939,34,28,96.351074,in
5,1,4,2,6,7,783,1937,162,38,96.550346,referring
5,1,4,2,6,8,969,1941,34,26,96.192093,to
5,1,4,2,6,9,1028,1939,55,29,96.948456,the
5,1,4,2,6,10,1108,1939,108,29,96.527946,Series
5,1,4,2,6,11,1240,1939,50,28,95.803993,for
5,1,4,2,6,12,1313,1947,67,28,96.859192,any
5,1,4,2,6,13,1403,1939,99,29,96.568932,other
5,1,4,2,6,14,1524,1947,159,28,96.312607,purpose.
5,1,4,2,6,15,1723,1939,135,30,96.405701,Letters
4,1,4,2,7,0,125,1985,1730,36,-1.0,
5,1,4,2,7,1,125,1985,34,28,96.951233,in
5,1,4,2,7,2,181,1985,156,30,96.119347,brackets
5,1,4,2,7,3,359,1985,85,30,96.119347,refer
5,1,4,2,7,4,468,1988,35,25,96.085228,to
5,1,4,2,7,5,527,1985,56,30,96.796913,the
5,1,4,2,7,6,605,1985,151,36,96.185226,position
5,1,4,2,7,7,777,1987,36,28,96.539093,of
5,1,4,2,7,8,839,1988,89,27,96.74218,texts
5,1,4,2,7,9,949,1987,35,28,96.638367,in
5,1,4,2,7,10,1008,1996,18,19,95.812111,a
5,1,4,2,7,11,1048,1987,102,29,95.812111,series
